abs_time,relative_time,AccX,AccY,AccZ
1970-01-01 00:00:30.000,30036.0,2.7736825942993164,-4.22157621383667,-8.295310020446777
1970-01-01 00:00:30.100,30140.0,2.907159447669983,-4.1192238330841064,-8.311172008514404
1970-01-01 00:00:30.200,30244.0,2.890998601913452,-4.125808238983154,-8.328828811645508
1970-01-01 00:00:30.300,30349.0,2.8622682094573975,-4.15723180770874,-8.300397872924805
1970-01-01 00:00:30.400,30453.0,2.827552318572998,-4.095282077789307,-8.352770805358887
1970-01-01 00:00:30.500,30569.0,2.7892448902130127,-4.2182841300964355,-8.300098896026611
1970-01-01 00:00:30.600,30661.0,2.759916067123413,-4.189853191375732,-8.319252014160156
1970-01-01 00:00:30.700,30730.5,2.800617456436157,-4.154538631439209,-8.316858291625977
1970-01-01 00:00:30.800,30847.0,2.7551275491714478,-4.214692831039429,-8.308178901672363
1970-01-01 00:00:30.900,30939.5,2.7700912952423096,-4.165910720825195,-8.325836181640625
1970-01-01 00:00:31.000,31055.333333333332,2.7997195720672607,-4.187757968902588,-8.314164638519287
1970-01-01 00:00:31.100,31148.0,2.7449522018432617,-4.201225280761719,-8.33182144165039
1970-01-01 00:00:31.200,31253.0,2.7814637422561646,-4.189852952957153,-8.318653583526611
1970-01-01 00:00:31.300,31356.5,2.787449359893799,-4.17728328704834,-8.319252014160156
1970-01-01 00:00:31.400,31460.5,2.7431565523147583,-4.176684856414795,-8.32404088973999
1970-01-01 00:00:31.500,31565.0,2.7724854946136475,-4.117428302764893,-8.316259384155273
1970-01-01 00:00:31.600,31635.0,2.803011655807495,-4.155735492706299,-8.323442459106445
1970-01-01 00:00:31.700,31727.666666666668,2.721010208129883,-4.211400985717773,-8.316558837890625
1970-01-01 00:00:31.800,31843.5,2.6862943172454834,-4.241926670074463,-8.32104778289795
1970-01-01 00:00:31.900,31947.5,2.9017724990844727,-4.2631752490997314,-8.28094482421875
1970-01-01 00:00:32.000,32052.0,2.7108349800109863,-4.278438568115234,-8.255207061767578
1970-01-01 00:00:32.100,32156.5,2.594416856765747,-4.202123403549194,-8.33451509475708
1970-01-01 00:00:32.200,32260.5,2.9741971492767334,-4.163516521453857,-8.274360656738281
1970-01-01 00:00:32.300,32364.5,2.7994203567504883,-4.251802921295166,-8.287230014801025
1970-01-01 00:00:32.400,32469.0,2.76350736618042,-4.209006786346436,-8.308478355407715
1970-01-01 00:00:32.500,32539.5,2.7545289993286133,-4.229955673217773,-8.335412979125977
1970-01-01 00:00:32.600,32643.0,2.7482441663742065,-4.129399299621582,-8.324339866638184
1970-01-01 00:00:32.700,32747.0,2.73537540435791,-4.262277603149414,-8.303689956665039
1970-01-01 00:00:32.800,32851.5,2.718915343284607,-4.232050895690918,-8.311470985412598
1970-01-01 00:00:32.900,32956.0,2.8095955848693848,-4.232948780059815,-8.324040412902832
1970-01-01 00:00:33.000,33060.5,2.747645616531372,-4.243722438812256,-8.308478355407715
1970-01-01 00:00:33.100,33164.0,2.7461493015289307,-4.214393615722656,-8.306682586669922
1970-01-01 00:00:33.200,33234.0,2.740163803100586,-4.244919776916504,-8.294113159179688
1970-01-01 00:00:33.300,33338.0,2.7003602981567383,-4.275146484375,-8.300696849822998
1970-01-01 00:00:33.400,33443.5,2.652775526046753,-4.331709384918213,-8.279149055480957
1970-01-01 00:00:33.500,33546.5,2.4914660453796387,-4.345476150512695,-8.313865184783936
1970-01-01 00:00:33.600,33651.0,2.484582901000977,-4.440645694732666,-8.289324760437012
1970-01-01 00:00:33.700,33743.666666666664,2.3496097326278687,-4.566341400146484,-8.262090682983398
1970-01-01 00:00:33.800,33860.0,2.3038206100463867,-4.473566055297852,-8.242637634277344
1970-01-01 00:00:33.900,33965.0,2.2005707025527954,-4.439448595046997,-8.346785545349121
1970-01-01 00:00:34.000,34068.0,2.234987258911133,-4.579509258270264,-8.331223487854004
1970-01-01 00:00:34.100,34138.0,2.098517894744873,-4.634575843811035,-8.221688270568848
1970-01-01 00:00:34.200,34231.0,2.01502001285553,-4.57232666015625,-8.324339866638184
1970-01-01 00:00:34.300,34346.5,2.0183119773864746,-4.572925090789795,-8.322244644165039
1970-01-01 00:00:34.400,34451.25,2.047042489051819,-4.582801342010498,-8.308478355407715
1970-01-01 00:00:34.500,34555.0,2.12485408782959,-4.5603556632995605,-8.301894187927246
1970-01-01 00:00:34.600,34660.0,2.1422119140625,-4.545691251754761,-8.306982040405273
1970-01-01 00:00:34.700,34765.0,2.174533605575561,,-8.299500465393066
1970-01-01 00:00:34.800,34833.0,2.146401882171631,-4.505887508392334,-8.32104778289795
1970-01-01 00:00:34.900,34926.0,2.213738799095154,-4.562151193618774,-8.295310020446777
1970-01-01 00:00:35.000,35042.0,2.1990742683410645,-4.553173065185547,-8.300697326660156
1970-01-01 00:00:35.100,35134.666666666664,2.209548830986023,-4.5307276248931885,-8.298901557922363
1970-01-01 00:00:35.200,35252.0,2.209848165512085,-4.57112979888916,-8.275558471679688
1970-01-01 00:00:35.300,35342.666666666664,2.239177107810974,-4.506486177444458,-8.304887294769287
1970-01-01 00:00:35.400,35459.0,2.2445640563964844,-4.535815238952637,-8.291120529174805
1970-01-01 00:00:35.500,35563.5,2.1897966861724854,-4.551976203918457,-8.288127899169922
1970-01-01 00:00:35.600,35667.5,2.2260091304779053,-4.518456935882568,-8.290521621704102
1970-01-01 00:00:35.700,35737.0,2.230797529220581,-4.537012100219727,-8.304886817932129
1970-01-01 00:00:35.800,35829.666666666664,2.2236149311065674,-4.548384666442871,-8.286631107330322
