,label,x_mean,x_std,y_mean,y_std,z_mean,z_std
0,stairs,-2.922888521481305,2.494501975423845,-9.473135093117754,4.622562826206329,-1.2195397120661413,2.8379459449411732
1,stairs,-2.621015228437881,3.160026060598187,-9.598835820416609,4.529414385852003,-1.070519414495677,4.015007808214746
2,stairs,-2.454664472432807,2.422107302693804,-9.422563178251186,4.50459213926959,-1.097479721740509,2.9697710342587262
3,stairs,-2.4995561518234513,2.588143326702532,-9.278597016463678,4.449364104258348,-1.4912109711542727,2.641316687704786
4,stairs,-2.3475865985450026,2.160104954688028,-9.425470942245175,4.855683120275922,-1.2035655823672813,3.1170386652714708
5,stairs,-2.0294554504586073,2.386836167309156,-9.431485164225101,4.5448800916774275,-1.2220963129568845,3.2229568618301263
6,stairs,-2.090952106352585,2.484273951401417,-9.536246441630803,4.38713676760834,-1.3806039102043117,2.870762201614267
7,stairs,-1.5353416957333683,2.297177338776249,-9.433519808351994,4.54139633741553,-1.0421709995277804,3.631722680871061
8,stairs,-2.0342933245329187,2.4587163661569167,-9.560095275640487,4.606729838481188,-1.5938240684956932,3.8257296197886363
9,stairs,-1.8538583086865643,2.809438382373538,-9.852299581766129,4.898708927782786,-1.2670594296604394,3.8066462477567344
10,stairs,-1.988532151078495,2.321732482382959,-9.816283381647533,4.553528047273966,-1.4287176928185052,3.241083956485986
11,stairs,-1.8409352118179279,1.9971491647922748,-9.751955828924974,4.10456885412834,-1.4624773539326466,3.42179233685928
12,stairs,-2.189899277245005,2.386621606843543,-9.931753191878396,5.209979261220423,-1.1017505724822791,2.682419723328656
13,stairs,-2.125555099810474,3.5343749108599476,-9.201259891639154,4.371318482220446,-1.4235715748866398,3.1198440564035805
14,stairs,-1.4415715790484103,1.6573578604416639,-9.136489985088508,4.340942315572925,-1.226804669237122,2.5035415589919703
15,stairs,-1.606468635947211,3.058910829066733,-9.63036069359382,4.719668330615322,-1.3749206060729922,2.5599482479866866
16,stairs,-1.5717016286651295,2.5544674265658704,-9.895738407770793,4.575799599989848,-1.268302165903151,2.9830072953854767
17,stairs,-1.7301459114284563,3.0686546156904786,-9.25365344107151,4.553868802346267,-1.0434968483867124,2.692095948108335
18,stairs,-1.2034255277800063,1.8664312608196822,-10.110590056379635,5.838972342113234,-1.4872587376183233,3.2116671404968273
19,stairs,-1.3914182504856336,2.6920038326648297,-9.500786908715963,4.247423206433429,-1.5479990366008136,3.310168340910651
20,stairs,-1.54484268600742,2.7385132918798916,-9.454351322849591,4.574031755150607,-1.7011760837771,3.4232695639409383
21,stairs,-0.9401000633112464,2.136056613299603,-9.58436130730311,4.558889858589435,-0.575797529735292,3.3575769512850657
22,stairs,-1.3818869268884881,1.7432305358733482,-9.183882372935612,3.791432500494729,-1.6322948916976652,2.434535959497543
23,stairs,-1.1256331195031912,2.317910017042379,-9.4989122736454,4.254947068472738,-1.3363851313050836,2.6692818436479926
24,jogging,-0.3161024685498948,1.8677776756895348,-9.690673044721287,3.524669161661093,-2.0443609500272824,1.5365396317570053
25,jogging,-0.6828722085307042,1.4726143361426143,-9.422828095157943,3.612597004766444,-2.1700992332920435,1.6925553508470628
26,jogging,-0.41558951904562613,1.5083895964482916,-9.433566501180332,3.2402973751622537,-2.0850408307043837,1.4083400194035396
27,jogging,-0.4243279191196554,1.4064186685248903,-9.455755997657777,3.233076751452718,-2.02649940676537,1.7120665304446894
