relative_time,AccX,AccY,AccZ
0,,1.534683346748352,
1,1.2647370100021362,,10.540472984313965
67,1.0660183429718018,2.0829553604125977,9.618705749511719
136,0.596754789352417,1.4389152526855469,11.579556465148926
201,-0.10474632680416107,1.2282254695892334,10.210073471069336
267,1.3293805122375488,3.7014358043670654,8.220491409301758
333,,6.964732646942139,
334,0.03411737456917763,,7.791929244995117
400,0.1801636815071106,2.8419175148010254,5.969942092895508
466,,7.879317760467529,
467,1.7794904708862305,6.825869083404541,7.95712947845459
562,,2.1571757793426514,
563,3.3189620971679688,,7.088034152984619
661,,3.4739866256713867,7.851784706115723
662,0.778714120388031,,3.6834793090820312
733,8.770559310913086,-1.1994950771331787,6.333860397338867
787,3.4530375003814697,-3.971980571746826,6.8557963371276855
867,,-6.53377628326416,6.558915615081787
868,6.314108371734619,,
959,,-4.266467571258545,
960,11.610082626342773,,2.0697872638702393
1000,,-2.918531894683838,
1001,19.882049560546875,,8.99860668182373
1069,17.739238739013672,-1.6519991159439087,4.789600372314453
1157,,-4.055777549743652,
1158,,,9.238027572631836
1159,11.53586196899414,,6.312312602996826
1201,6.376357555389404,-4.845864295959473,7.473500728607178
1296,7.305307865142822,-4.003105163574219,6.245275020599365
1395,3.78104305267334,-3.581725835800171,2.448071241378784
1494,7.415441036224365,-3.095702886581421,6.278793811798096
1532,7.812878608703613,-3.936067581176758,0.2669534981250763
1552,6.496067523956299,-6.440402507781982,0.6500257849693298
1572,8.432976722717285,-6.998251438140869,5.208585739135742
1591,,-5.434837818145752,
1592,10.745776176452637,,4.1431660652160645
1611,,-5.655104637145996,
1612,7.642890453338623,,2.1966800689697266
1631,9.053074836730957,-5.015852451324463,1.8255788087844849
1662,9.366715431213379,-5.5545477867126465,1.4951789379119873
1672,9.416994094848633,-6.452373504638672,2.73537540435791
1691,,-7.85537576675415,
1692,10.058639526367188,,2.4791958332061768
1711,8.109759330749512,-8.300697326660156,1.4233529567718506
1731,5.789778232574463,-8.69334602355957,0.8822633028030396
1750,,-12.282255172729492,-0.5374982953071594
1751,0.3693056106567383,,
1770,,-9.107542991638184,
1771,-0.23403321206569672,,-1.1025298833847046
1790,2.9502551555633545,-8.188169479370117,0.7218518257141113
1810,4.745906352996826,-4.527435302734375,-0.568622887134552
1830,7.448959827423096,-3.5386300086975098,-2.3930046558380127
1850,9.302072525024414,-5.463568210601807,-0.4728548228740692
1870,6.759429931640625,-6.344634532928467,-0.8774749040603638
1890,4.324526786804199,-6.950367450714111,-1.3706804513931274
1909,,-9.955090522766113,
1910,1.1186907291412354,,-0.8176198601722717
1929,,-10.845733642578125,
1930,0.40043023228645325,,-0.1759738177061081
1949,,-7.817068576812744,0.9062053561210632
1950,1.27191960811615,,
1969,1.0564415454864502,-2.7126305103302,-0.13527239859104156
1989,0.5871779918670654,-1.766920804977417,-0.3387795388698578
2009,-0.36332011222839355,-3.4380736351013184,0.7218518257141113
2029,-0.5069721937179565,-3.5434184074401855,0.8487445116043091
2049,-0.38965633511543274,-3.6343982219696045,1.4544775485992432
2068,,-5.252878665924072,
2069,0.3405751883983612,,-4.947618007659912
2088,,-5.940014362335205,
2089,-1.1366472244262695,,0.32680854201316833
2108,-2.235585927963257,-10.029311180114746,9.827000617980957
2128,-6.8156938552856445,-33.672054290771484,1.1839327812194824
2149,-3.8109705448150635,-47.893611907958984,4.590881824493408
2168,-0.41359832882881165,-10.812214851379395,0.06344634294509888
2188,0.08439560979604721,-0.21787235140800476,1.6723499298095703
