relative_time,AccX,AccY,AccZ
0,0.09457096457481384,3.8091750144958496,8.777742385864258
72,1.1779472827911377,4.502894878387451,8.78312873840332
141,0.45848962664604187,4.103063106536865,9.208698272705078
208,,,9.47265911102295
209,0.16819266974925995,4.019266128540039,
278,,,9.577404975891113
279,0.4076128304004669,3.4111387729644775,
347,,,9.048286437988281
348,-0.44592007994651794,3.028066635131836,
417,,,8.51138687133789
418,-0.9145850539207458,2.943072557449341,
487,-0.20530278980731964,3.6804866790771484,8.316858291625977
556,0.8906430602073669,,8.200738906860352
557,,4.032433986663818,
626,1.3611036539077759,4.19344425201416,7.268198013305664
695,2.0602104663848877,3.7714662551879883,8.033743858337402
765,2.4396915435791016,3.341108560562134,8.990825653076172
834,,,9.5624418258667
835,3.0202853679656982,1.835754156112671,
904,3.41951847076416,1.6801310777664185,8.896254539489746
973,3.004723072052002,2.101510524749756,8.844779968261719
1043,3.1687259674072266,1.7262194156646729,10.283096313476562
1112,,,11.203666687011719
1113,3.625419855117798,0.8493430614471436,
1181,,,10.96664047241211
1182,5.1780595779418945,0.2232593148946762,
1251,5.000888824462891,-0.21188685297966003,8.656834602355957
1320,,,9.461286544799805
1321,5.321712017059326,-0.8493430614471436,
1390,4.244320869445801,,9.11113452911377
1391,,-0.7200561761856079,
1460,3.185485363006592,-1.137245774269104,9.589975357055664
1529,3.0831332206726074,-0.6290764808654785,8.944737434387207
1599,3.3482911586761475,-0.3124433159828186,9.161413192749023
1667,,,9.427168846130371
1669,3.223194122314453,-0.10175357013940811,
1737,,,9.03870964050293
1738,2.784456491470337,0.22206220030784607,
1806,2.826953649520874,0.33039984107017517,9.552865028381348
1876,2.8832173347473145,0.44771572947502136,9.546280860900879
1945,3.095104217529297,0.45190557837486267,9.354744911193848
2014,,,9.053074836730957
2015,2.8832173347473145,0.3531447649002075,
2084,3.448847532272339,0.545877993106842,8.853757858276367
2153,,,9.532513618469238
2154,4.878185749053955,0.061052143573760986,
2223,,,7.772177219390869
2225,5.513247966766357,0.4908113479614258,
2292,,,5.668272495269775
2293,7.837419033050537,1.9506758451461792,
2362,8.495824813842773,2.011728048324585,5.6209869384765625
2432,10.038289070129395,1.8854337930679321,2.806004285812378
2501,,,0.9493009448051453
2502,9.537302017211914,2.0033483505249023,
2571,8.979453086853027,2.3145945072174072,1.0654197931289673
2640,9.951498985290527,1.9183541536331177,-0.07422025501728058
2710,9.870096206665039,0.851138710975647,-2.337339401245117
2779,,,-4.969165802001953
2780,8.259397506713867,0.9068039059638977,
2849,7.812280178070068,1.5999252796173096,-6.575076580047607
2920,7.8296380043029785,0.9259575009346008,-5.134365558624268
2988,,,-4.263474464416504
2989,8.339004516601562,-0.8523358106613159,
3057,6.604405403137207,-2.190095901489258,-2.3098061084747314
3127,11.950657844543457,1.1109095811843872,-4.8895583152771
3197,10.248978614807129,0.8972271084785461,-2.412158250808716
3267,7.319074630737305,-8.720281600952148,-2.942473888397217
3335,,,-5.215169906616211
3336,6.3697733879089355,-6.197391033172607,
3405,6.192602634429932,,-5.202600479125977
3406,,-5.452195644378662,
3474,,,-4.879383087158203
3475,7.44297456741333,-4.508281707763672,
3544,6.926425457000732,-3.5200750827789307,-4.991312026977539
3615,7.710526466369629,-3.776254653930664,-5.647922039031982
3683,7.144298076629639,-4.725555419921875,-5.269039154052734
3754,,,-6.156689643859863
3755,6.1949968338012695,-2.935889720916748,
3822,,,-5.200804710388184
3823,7.5453267097473145,-6.9024834632873535,
3893,5.051167011260986,-1.3605051040649414,-6.187215805053711
3961,7.5662760734558105,-5.032013416290283,-5.349843502044678
4031,5.401917457580566,-5.717952251434326,-8.119935035705566
4102,4.890755653381348,-2.2212207317352295,-7.268796443939209
4170,,,-7.041347026824951
4172,4.845265865325928,-3.5889084339141846,
4239,4.7584757804870605,-5.157110691070557,-6.340444564819336
4309,5.097255229949951,-4.914697647094727,-7.605780124664307
4378,,,-8.652046203613281
4379,3.3512837886810303,-5.495291233062744,
4448,3.804386615753174,-1.048660397529602,-8.049904823303223
4517,,,-8.323442459106445
4518,3.980360269546509,-4.264073371887207,
4587,,,-8.370129585266113
4588,3.157353401184082,-3.6320040225982666,
4657,,,-8.486248016357422
4658,3.1890766620635986,,
4659,,-3.3464953899383545,
4726,,,-8.629301071166992
4727,3.3488895893096924,-3.6349966526031494,
4795,3.008913040161133,-3.7014358043670654,-8.3306245803833
4865,2.898181200027466,-4.0300397872924805,-8.40424633026123
4935,,,-8.281543731689453
4936,2.671330451965332,-3.819350242614746,
5004,,,-8.87829875946045
5005,3.1286230087280273,-3.5248634815216064,
5074,4.37420654296875,-3.7642836570739746,-9.226056098937988
5143,2.6850972175598145,-4.645349979400635,-8.185176849365234
5213,1.2868833541870117,-5.683236122131348,-8.100781440734863
5282,,,-7.71591329574585
5283,0.46806642413139343,-5.331887245178223,
5352,0.08379705995321274,-5.7526679039001465,-7.327454090118408
5422,1.2587515115737915,-5.3127336502075195,-8.075642585754395
5492,,,-9.083600997924805
5493,3.2196028232574463,-3.773860454559326,
5561,3.376422882080078,-2.713229179382324,-8.838793754577637
5630,3.1980550289154053,-2.695871114730835,-8.58620548248291
5699,,,-8.538321495056152
5700,2.9448680877685547,-3.118447780609131,
5769,2.698265314102173,-3.5272576808929443,-8.950124740600586
5839,3.2848446369171143,,-9.295488357543945
5840,,-4.347870349884033,
5908,3.3722331523895264,-4.966172695159912,-8.4293851852417
5978,0.9642647504806519,-4.250306606292725,-8.402450561523438
6047,,,-7.682993412017822
6048,0.2908954918384552,-3.2082302570343018,
6117,1.876455545425415,-1.669357180595398,-8.5287446975708
6186,2.4235305786132812,-2.2433669567108154,-8.738836288452148
6256,2.319981336593628,-4.285022258758545,-8.841787338256836
6325,,,-9.664793968200684
6326,2.7748796939849854,-4.972756862640381,
6395,2.3774423599243164,-4.183269023895264,-8.469488143920898
6464,,,-8.60655689239502
6465,2.8395233154296875,-3.582324266433716,
6534,2.739565372467041,-3.666121244430542,-8.434173583984375
6603,,,-8.3306245803833
6604,3.0759506225585938,-3.9665937423706055,
6673,2.9700071811676025,-4.213795185089111,-8.238448143005371
6743,2.8850131034851074,-3.9211037158966064,-8.244433403015137
6812,2.8586769104003906,-4.079121112823486,-8.556278228759766
6882,2.8131868839263916,-4.106654644012451,-8.32104778289795
6951,2.7970261573791504,-4.190451622009277,-8.339004516601562
7021,2.7928361892700195,-4.063559055328369,-8.319252014160156
7090,3.141192674636841,-4.0982747077941895,-8.361749649047852
7160,,,-8.40963363647461
7161,2.80361008644104,-3.955819845199585,
7231,2.633023262023926,-3.892971992492676,-8.271368026733398
7299,3.008913040161133,-4.015076160430908,-8.359953880310059
7368,,,-8.293514251708984
7369,3.1088709831237793,-4.305373191833496,
7438,2.6563668251037598,-4.417900562286377,-8.301894187927246
7507,,,-8.201936721801758
7508,2.539050817489624,-4.5842976570129395,
7578,2.609679937362671,-4.8482584953308105,-8.009801864624023
7646,2.8790276050567627,-4.677671432495117,-8.017582893371582
