relative_time,AccX,AccY,AccZ
30015,-1.4024035930633545,-11.939884185791016,-1.1456254720687866
30035,-1.323395013809204,-11.405977249145508,-1.96683669090271
30054,-0.9115923047065736,-10.070012092590332,-0.0682347491383552
30074,,-9.404424667358398,
30075,-0.3250128924846649,,0.3004723191261291
30094,-0.2316390126943588,-9.677363395690918,-0.5710170865058899
30114,-0.2100912034511566,-9.315838813781738,-1.3419500589370728
30134,-0.2867056429386139,-8.482656478881836,-1.543063044548035
30154,0.1394622474908828,-7.920019149780273,-1.4496891498565674
30175,0.5608417391777039,-7.728483200073242,-1.7417817115783691
30274,,-7.501033782958984,
30275,1.0133458375930786,,-2.220622062683105
30362,1.8680758476257324,-8.47547435760498,-6.204573631286621
30428,,-10.60152530670166,
30429,2.325368404388428,-13.979743957519531,-1.88782799243927
30495,0.1322796493768692,-9.095572471618652,3.003525972366333
30524,3.4314894676208496,-10.781089782714844,1.701080322265625
30612,,-11.159374237060549,
30613,2.990956544876098,,1.8926163911819456
30695,1.1330559253692627,-9.509769439697266,
30696,,,-0.4010287821292877
30791,0.9127894043922424,-8.832210540771484,0.7362170219421387
30828,1.468244194984436,-9.251194953918455,-0.2669534981250763
30895,2.162562608718872,-9.500192642211914,-0.7601590156555176
30962,2.054823637008667,-11.130643844604492,0.5351040959358215
31029,1.7962498664855957,-12.18409252166748,-0.5374982953071594
31095,0.6254851818084717,-8.578424453735352,1.1336544752120972
31126,2.1338322162628174,-13.455413818359377,2.3235726356506348
31208,1.9279309511184688,-13.445837020874023,1.0833762884140017
31228,1.7603367567062378,-9.694122314453123,-0.1711854189634323
31327,,-8.743624687194824,
31328,1.3126211166381836,,-0.3507505357265472
31427,-1.0097545385360718,-5.22175407409668,-1.6915035247802734
31517,,-11.264719009399414,
31518,2.9550435543060303,,-9.44871711730957
31561,,-11.91115379333496,
31562,1.753154158592224,,6.245275020599365
31628,,-6.63433313369751,
31629,-4.636970043182373,-7.6566572189331055,-0.1640028208494186
31695,4.43705415725708,-11.6430025100708,3.999513864517212
31762,0.1131260320544242,-9.107542991638184,-0.8391677141189575
31828,,-9.313444137573242,
31829,0.2495955228805542,-8.971074104309082,0.5063736438751221
31895,1.3198037147521973,-8.755595207214355,0.3746925592422485
31962,1.492186188697815,-9.33499240875244,-0.3579331636428833
32042,,-10.21845245361328,
32043,2.454655408859253,,0.6667851805686951
32095,2.0165164470672607,-13.663708686828612,-1.0019733905792236
32128,0.3573346138000488,-8.992621421813965,-0.0466869324445724
32161,0.5991489887237549,-10.30703830718994,
32162,-0.322618693113327,,2.086546897888184
32262,-1.1390414237976074,-14.192827224731444,0.6955155730247498
32294,1.3413515090942385,-10.101137161254885,0.9756371974945068
32362,1.3317747116088867,-9.739612579345703,0.3124433159828186
32429,-0.0161608606576919,-5.023035049438477,
32430,,,0.5231330990791321
32495,-0.8589198589324951,-4.474762916564941,-2.299630641937256
32550,,-13.42668342590332,
32551,1.856104850769043,,
32553,,,-7.930793285369873
32554,,,-10.064026832580566
32626,0.7715315222740173,-6.603208065032959,
32627,0.3333925902843475,,-4.485537052154541
32695,0.6637924313545227,-12.76109504699707,4.255693435668945
32778,1.0133458375930786,-9.002198219299316,2.366668462753296
32828,1.5544354915618896,-9.62947940826416,-0.9445125460624696
32896,0.2783259451389313,-8.554482460021973,-0.3890577852725982
32976,,-8.401253700256348,
32977,0.9103952050209044,,0.1783680319786071
33028,1.7196353673934937,-9.39245319366455,-0.992396593093872
33098,3.3500866889953613,-9.105149269104004,-0.0371101275086402
33126,3.4075474739074707,-11.702857971191406,0.0059855040162801
33215,2.380434989929199,-13.103466033935549,-0.0490811355412006
33295,,-13.366827964782717,
33296,0.0556651912629604,,2.167949676513672
33362,0.7667431235313416,-11.628637313842772,0.7122750282287598
33428,,-7.967903137207031,
33429,1.614290475845337,-7.194576263427734,0.6428431272506714
33495,-0.195725992321968,-4.2760443687438965,0.4800374507904053
33544,0.8744821548461914,-7.261613845825195,-3.872621297836304
33629,1.5065513849258425,-15.040374755859377,-6.901286602020264
33711,1.3628993034362793,-9.342175483703612,-2.7257986068725586
33761,0.6254851818084717,-7.592013359069824,1.648407816886902
33829,2.804208755493164,-9.423578262329102,3.535038709640503
33895,1.7387889623641968,-10.204087257385254,0.4537012279033661
33962,0.6613982319831848,-8.305485725402832,0.5398924946784973
34028,,-9.026140213012695,
34029,2.030881643295288,-9.05247688293457,1.2509703636169434
34095,2.4618380069732666,-10.01494598388672,-1.7154455184936523
34162,3.9151182174682617,-11.319786071777344,-0.568622887134552
34229,3.74752426147461,-12.880805015563965,0.3842693865299225
34295,-1.4766238927841189,-10.216058731079102,1.746570110321045
34362,-0.9235633015632628,-14.190433502197266,0.970848798751831
34428,,-10.99656867980957,
34429,0.3214215636253357,-9.892841339111328,1.1288660764694214
34495,0.8768763542175293,-8.039729118347168,0.1161187812685966
34536,-0.921169102191925,-4.034229755401611,0.0802057534456253
34624,-0.8565256595611572,-4.211400985717773,-2.2469582557678223
34695,-0.4997895956039428,-10.680533409118652,-8.057685852050781
34762,0.5225345492362976,-13.345280647277832,0.7745242714881897
34829,-0.3417722880840301,-7.469909191131592,0.8678981065750122
34895,3.3022027015686035,-11.475408554077148,
34896,1.058835744857788,,2.223016262054444
34981,0.314238965511322,-9.263166427612305,-0.8559271097183228
35029,,-8.056488990783691,
35030,2.279878616333008,-7.8314337730407715,0.8846575021743774
35096,1.468244194984436,-7.908048152923584,0.456095427274704
35162,1.6023194789886477,-8.99740982055664,-2.100912094116211
35216,4.125808238983154,-11.135432243347168,-0.6763619780540466
35217,4.113837242126465,-11.853693008422852,-0.3196259140968323
35237,3.338115692138672,-12.955025672912598,-0.3507505357265472
35257,1.911171555519104,-12.78503704071045,-0.2645592987537384
35276,-0.1478419601917266,-10.977415084838867,-0.6596025824546814
35296,-1.3162124156951904,-9.454702377319336,0.6308721303939819
35316,-2.2020668983459477,-10.44350814819336,1.7633295059204102
35336,-2.336142301559448,-12.878411293029783,1.7298107147216797
35356,-1.2372037172317505,-14.43224811553955,1.2270283699035645
35376,-0.5141547918319702,-15.51921558380127,0.8104372620582581
35395,,-14.678850173950195,
35396,-0.0017956512747332,,0.5542576909065247
35415,,-12.813767433166504,
35416,0.6518214344978333,,0.7697358727455139
35435,0.5129576921463013,-11.02051067352295,1.071405291557312
35455,0.4004302322864532,-10.129867553710938,1.5191209316253662
35475,0.1777694821357727,-8.645462036132812,0.7242460250854492
35495,0.2591723203659057,-7.144298076629639,0.2573766708374023
35514,,-6.2632317543029785,
35515,0.2974795699119568,,0.2358288615942001
35534,-0.0688332989811897,-5.331887245178223,0.3866635859012604
35554,-0.5237316489219666,-4.520252704620361,0.2406172752380371
35574,-0.6362590789794922,-3.88818359375,-0.729034423828125
35594,-0.4016273319721222,-4.436455726623535,-1.8590975999832156
35614,0.261566549539566,-5.882553577423096,-2.8407204151153564
35633,1.0851719379425049,-7.948749542236328,-3.6116533279418954
35653,1.367687702178955,-10.647014617919922,-4.404133796691895
35673,1.3221979141235352,-12.492944717407228,-6.918045997619629
35693,0.374094009399414,-11.334151268005373,-8.342596054077148
35713,-0.4734533727169037,-8.832210540771484,-5.720944881439209
35733,-1.7304092645645142,-8.154650688171387,-3.0657753944396973
35752,-2.075174331665039,-9.184157371520996,-2.096123695373535
35772,-0.8589198589324951,-11.46104335784912,-1.3754688501358032
35792,-0.0233434662222862,-14.34366226196289,-1.4065934419631958
35812,0.8768763542175293,-14.94460678100586,0.9876081943511964
35832,0.9510966539382936,-9.974244117736816,2.874239206314087
35852,0.579995334148407,-7.90086555480957,1.6172832250595093
35871,,-7.350199222564697,
35872,2.0644004344940186,,2.603694438934326
35891,3.29502010345459,-9.050082206726074,2.503137826919556
35911,4.032433986663818,-11.101913452148438,2.8215668201446533
35931,4.166509628295898,-11.50892734527588,2.4863784313201904
35951,3.048417329788208,-10.733205795288086,1.279700756072998
35971,1.6382324695587158,-9.928754806518556,0.2070984542369842
35990,0.8649053573608398,-9.330204010009766,-0.2741360962390899
36010,0.5321113467216492,-9.375694274902344,0.0035913025494664
36030,0.3381809890270233,-9.476250648498535,0.484825849533081
36050,0.7475894689559937,-9.002198219299316,0.992396593093872
36070,1.2647370100021362,-8.844181060791016,1.643619418144226
36090,1.8848352432250977,-8.576030731201172,1.5933412313461304
36109,2.32297420501709,-8.418013572692871,1.049857497215271
36129,2.6437971591949463,-8.592789649963379,0.5781996846199036
36149,1.8082208633422847,-8.688557624816895,0.089782565832138
36169,1.27191960811615,-8.56884765625,-0.029927521944046
36189,1.8656816482543943,-8.980650901794434,-0.3579331636428833
36209,2.943072557449341,-9.2033109664917,-1.2701239585876465
36228,3.8145618438720703,-8.71489429473877,-0.7697358727455139
36248,4.408323764801025,-9.591172218322754,0.5111620426177979
36268,3.74752426147461,-11.477803230285645,0.3794809579849243
36288,2.485780000686645,-11.475408554077148,-0.1616086214780807
36308,1.8297686576843264,-11.520898818969728,-0.4153940081596374
36327,,-12.121843338012695,
36328,2.3062148094177246,,-0.1951274424791336
36347,2.9478609561920166,-12.864046096801758,-0.3459621369838714
36367,1.5783774852752686,-12.33013916015625,-0.3818751573562622
36387,-0.0544680878520011,-10.71884059906006,-0.5374982953071594
36407,-0.6697779297828674,-9.976638793945312,0.7793126702308655
36427,-0.4542997777462005,-10.953473091125488,1.6268600225448608
36446,-0.6937199234962463,-12.94066047668457,1.6603789329528809
36466,-1.809417963027954,-13.939042091369627,0.9660604000091552
36486,-2.429516077041626,-14.889540672302246,1.2533645629882812
36506,-1.6944962739944458,-14.839262008666992,0.812831461429596
36526,-0.0999579206109047,-12.641385078430176,0.2956839203834533
36546,1.240795016288757,-10.702081680297852,0.4082113802433014
36565,,-9.478644371032717,
36566,1.7507599592208862,,1.291671872138977
36585,1.3365631103515625,-8.415618896484375,0.2549824714660644
36605,0.7236474752426147,-7.848193168640137,-0.1496376097202301
36625,0.4770447015762329,-6.8809356689453125,-0.1544260084629058
36645,0.0245405677706003,-5.612008571624756,0.0323217213153839
36665,-0.2795230448246002,-4.548983097076416,0.0107739074155688
36685,-0.3082534670829773,-3.8091750144958496,-0.2932897210121155
36704,-0.4542997777462005,-3.457227230072021,-0.930147349834442
36724,-0.578798234462738,-3.773261785507202,-1.7753005027770996
36744,-0.0065840547904372,-4.912901878356934,-3.137601375579834
36764,1.202487826347351,-7.347805023193359,-4.665102005004883
36784,2.3756465911865234,-11.51850414276123,-6.585251808166504
36804,1.2647370100021362,-14.810531616210938,-9.925163269042969
36823,-0.6147112846374512,-13.014880180358888,-11.196484565734863
36843,-0.801459014415741,-8.769960403442383,-6.53257942199707
36863,-1.835754156112671,-7.936778545379639,-2.958036184310913
36883,-2.609081268310547,-9.641449928283691,-0.3986345827579498
36902,,-12.777854919433594,
36903,-0.9570821523666382,,1.016338586807251
