relative_time,AccX,AccY,AccZ
32810,-11.64958667755127,-11.073183059692385,-15.175647735595703
32885,2.2152352333068848,-4.491522312164307,6.10401725769043
32952,-5.14932918548584,-19.359514236450195,-0.7769184708595276
33018,-0.9187749028205872,-5.714959621429443,-1.9357120990753172
33085,-6.559514045715332,-8.571242332458496,-2.7976245880126958
33151,-2.3026235103607178,-7.228095054626465,
33152,,,-4.461595058441162
33218,-1.9219454526901243,-7.790732383728027,-1.543063044548035
33285,-1.8812439441680908,-7.311892032623291,-1.2533645629882812
33351,1.391629695892334,-9.619902610778809,0.7410054206848145
33415,-2.5755624771118164,-8.69095230102539,0.729034423828125
33439,-0.7511807680130005,,
33440,,-7.508216381072998,-2.24935245513916
33503,-4.083909511566162,-15.480908393859863,-0.21188685297966
33522,-3.662529945373535,-14.369998931884766,2.412158250808716
33542,-3.2531216144561768,-14.657302856445312,3.1088709831237797
33562,-3.492541790008545,-18.10016441345215,1.2964602708816528
33582,-3.200449228286743,-19.99637222290039,-0.2454056739807129
33602,-3.2579100131988525,-20.20227432250977,0.484825849533081
33623,-4.701613426208496,-18.997989654541016,0.7721300721168518
33641,-4.320935726165772,-15.658079147338867,1.4736311435699463
33661,-2.4630351066589355,,
33662,,-13.91270637512207,2.0673930644989014
33681,-1.2826935052871704,-12.816162109375,1.9931728839874268
33701,-1.7160440683364868,-11.085153579711914,1.6053122282028198
33721,-1.9219454526901243,-9.062053680419922,1.600523829460144
33740,-2.3744494915008545,-7.615955829620361,1.969230890274048
33760,-2.9107506275177,-6.40927791595459,2.692279815673828
33780,-2.8173768520355225,-4.606443881988525,2.962824583053589
33800,-2.115875720977783,,
33801,,-2.6575639247894287,2.495955228805542
33820,-1.615487575531006,-1.3982137441635132,2.1703438758850098
33840,-2.0703859329223637,-1.4221558570861816,1.8997989892959597
33859,-2.807800054550171,,
33860,,-1.9704279899597168,1.5047557353973389
33879,-3.140594005584717,-2.2577321529388428,0.6955155730247498
33899,-2.915539026260376,-1.580173134803772,-0.0179565120488405
33919,-2.273893117904663,-0.6392518281936646,-0.3172317147254944
33938,-1.1965023279190063,,
33939,,-1.2689268589019775,-0.9157821536064148
33959,-0.6051344871520996,-3.2848446369171143,-2.6659436225891118
33978,-1.6944962739944458,,
33979,,-5.9088897705078125,-8.20373249053955
33998,-5.065532207489014,-9.813833236694336,-14.088680267333984
34018,-7.622539520263672,-11.386823654174805,-11.871648788452148
34038,-6.8156938552856445,-10.433931350708008,-10.949881553649902
34059,-5.462969779968262,-9.780313491821287,-7.305906295776367
34078,-8.960898399353027,-10.429142951965332,-6.027402877807617
34097,-12.791621208190918,,
34098,,-14.39872932434082,-5.819107055664063
34117,-6.712742805480957,,
34118,,-14.642937660217283,7.971494674682617
34137,-0.226850613951683,-19.426551818847656,7.803900241851807
34157,4.92307710647583,-22.711397171020508,6.728903770446777
34177,2.5480291843414307,-18.622100830078125,4.289212226867676
34197,-0.9666589498519896,-15.55512809753418,3.400963544845581
34216,-1.998559832572937,-11.32457447052002,3.963600873947144
34236,-3.4278981685638428,-8.516175270080566,2.70185661315918
34256,-4.615422248840332,-7.254431247711182,0.729034423828125
34276,-5.300164222717285,-6.837840080261231,-1.2988544702529907
34296,-4.246715068817139,-5.913678169250488,-2.103306293487549
34316,-3.008913040161133,-5.746084213256836,-3.276464939117432
34335,-3.0998926162719727,-7.678205013275146,-5.357026100158691
34355,-4.500500679016113,-10.321403503417969,-6.2620344161987305
34375,-5.491700172424316,-11.346121788024902,-4.882974147796631
34395,-5.235520362854004,-10.42195987701416,-3.5924997329711914
34415,-3.327341794967652,-9.318233489990234,-1.974019289016724
34434,-0.6003460884094238,,
34435,,-9.552865028381348,0.0538695380091667
34454,1.6023194789886477,-9.742006301879885,1.698686122894287
34474,1.465849995613098,-9.277531623840332,2.867056608200073
34494,-2.1302409172058105,-8.003816604614258,2.515108823776245
34514,-5.180453777313232,-7.716512203216553,1.0785878896713257
34533,-5.659294128417969,-8.01339340209961,-0.0035913025494664
34553,-4.34487771987915,-7.939172744750977,-0.0802057534456253
34573,-2.743156671524048,-8.324639320373535,0.3315969407558441
34593,-2.072780132293701,-8.757989883422852,0.7577648162841797
34613,-1.4646528959274292,-9.29189682006836,1.657984733581543
34633,-1.3090298175811768,-9.959878921508787,2.8359320163726807
34652,-2.228403329849243,-10.72841739654541,2.93888258934021
